function_name,thread_id,duration_ns,self_time_ns,num_children
main,1007464,56593000,35515000,7
parse_loglevel,1007464,220000,104000,4
locate_option,1007464,60000,11000,4
find_option,1007464,16000,16000,0
find_option,1007464,11000,11000,1
av_strstart,1007464,0,0,0
find_option,1007464,4000,4000,0
find_option,1007464,18000,18000,0
locate_option,1007464,52000,7000,3
find_option,1007464,17000,17000,0
find_option,1007464,11000,11000,1
av_strstart,1007464,0,0,0
find_option,1007464,17000,17000,0
locate_option,1007464,53000,4000,4
find_option,1007464,18000,18000,2
av_strstart,1007464,0,0,0
av_strstart,1007464,0,0,0
find_option,1007464,11000,11000,0
find_option,1007464,3000,3000,0
find_option,1007464,17000,17000,0
locate_option,1007464,51000,5000,4
find_option,1007464,15000,15000,0
find_option,1007464,11000,11000,0
find_option,1007464,4000,4000,1
av_strstart,1007464,0,0,0
find_option,1007464,16000,16000,2
av_strstart,1007464,0,0,0
av_strstart,1007464,0,0,0
avformat_network_init,1007464,3000,3000,0
show_banner,1007464,150000,22000,6
find_option,1007464,27000,27000,0
find_option,1007464,20000,20000,0
find_option,1007464,16000,16000,0
av_log,1007464,11000,0,1
av_log_default_callback,1007464,11000,7000,1
colored_fputs,1007464,4000,1000,1
ansi_fputs,1007464,3000,3000,0
av_vlog,1007464,2000,2000,1
format_line,1007464,0,0,1
av_vbprintf,1007464,0,0,0
print_all_libs_info,1007464,28000,28000,0
print_all_libs_info,1007464,26000,16000,3
av_log_default_callback,1007464,2000,1000,1
colored_fputs,1007464,1000,1000,0
av_vlog,1007464,5000,5000,0
av_log,1007464,3000,1000,1
av_log_default_callback,1007464,2000,1000,1
ansi_fputs,1007464,1000,1000,0
ffmpeg_parse_options,1007464,13421000,6336000,5
split_commandline,1007464,713000,14000,5
av_log,1007464,0,0,0
find_option,1007464,17000,13000,1
av_strstart,1007464,4000,4000,0
find_option,1007464,3000,3000,0
find_option,1007464,16000,16000,0
opt_default,1007464,663000,14000,2
opt_find,1007464,288000,12000,1
av_opt_find,1007464,276000,149000,24
av_opt_child_class_iterate,1007464,26000,4000,1
av_codec_iterate,1007464,22000,1000,1
av_codec_init_static,1007464,21000,14000,1
mjpeg_get_supported_config,1007464,7000,7000,0
av_opt_find2.localalias,1007464,6000,6000,1
av_opt_next,1007464,0,0,0
av_opt_find2.localalias,1007464,4000,4000,0
av_codec_iterate,1007464,0,0,0
av_opt_find2.localalias,1007464,6000,6000,0
av_opt_find2.localalias,1007464,3000,3000,1
av_opt_next,1007464,0,0,0
av_opt_child_class_iterate,1007464,6000,1000,1
codec_child_class_iterate,1007464,5000,5000,0
av_opt_find2.localalias,1007464,1000,1000,0
av_opt_find2.localalias,1007464,4000,4000,0
av_opt_find2.localalias,1007464,7000,7000,0
av_opt_find2.localalias,1007464,3000,3000,0
av_opt_find2.localalias,1007464,1000,1000,1
av_opt_next,1007464,0,0,0
av_opt_child_class_iterate,1007464,1000,1000,0
av_opt_find2.localalias,1007464,4000,4000,1
av_opt_next,1007464,0,0,0
av_opt_next,1007464,12000,12000,0
av_opt_find2.localalias,1007464,13000,13000,0
av_opt_find2.localalias,1007464,3000,3000,1
av_opt_next,1007464,0,0,0
av_opt_find2.localalias,1007464,7000,7000,0
av_opt_child_class_iterate,1007464,0,0,0
av_opt_child_class_iterate,1007464,8000,8000,0
av_opt_find2.localalias,1007464,3000,3000,0
av_opt_child_class_iterate,1007464,4000,4000,1
av_codec_iterate,1007464,0,0,0
av_opt_child_class_iterate,1007464,0,0,0
av_opt_find2.localalias,1007464,3000,3000,0
opt_find,1007464,361000,1000,1
av_opt_find,1007464,360000,257000,29
av_opt_find2.localalias,1007464,45000,4000,1
av_opt_find2.localalias,1007464,41000,38000,4
av_opt_child_class_iterate,1007464,0,0,0
av_opt_child_class_iterate,1007464,0,0,0
av_opt_find2.localalias,1007464,2000,2000,0
av_opt_find2.localalias,1007464,1000,1000,0
av_opt_child_class_iterate,1007464,0,0,0
av_opt_find2.localalias,1007464,0,0,0
av_opt_find2.localalias,1007464,5000,5000,0
format_child_class_iterate,1007464,0,0,0
av_opt_find2.localalias,1007464,5000,5000,1
av_opt_next,1007464,0,0,0
av_opt_find2.localalias,1007464,5000,5000,0
av_opt_find2.localalias,1007464,1000,1000,0
av_opt_find2.localalias,1007464,4000,4000,0
av_opt_find2.localalias,1007464,4000,4000,0
av_opt_child_class_iterate,1007464,0,0,0
av_opt_find2.localalias,1007464,0,0,0
av_opt_find2.localalias,1007464,3000,3000,1
av_opt_next,1007464,0,0,0
av_opt_find2.localalias,1007464,4000,4000,1
av_opt_next,1007464,0,0,0
av_opt_child_class_iterate,1007464,1000,1000,0
av_opt_find2.localalias,1007464,1000,1000,0
av_opt_child_class_iterate,1007464,0,0,0
av_opt_find2.localalias,1007464,0,0,0
format_child_class_iterate,1007464,0,0,0
format_child_class_iterate,1007464,0,0,0
av_opt_find2.localalias,1007464,3000,3000,0
av_opt_find2.localalias,1007464,0,0,1
av_opt_next,1007464,0,0,0
format_child_class_iterate,1007464,1000,1000,0
av_opt_find2.localalias,1007464,11000,11000,0
av_opt_find2.localalias,1007464,0,0,0
av_opt_find2.localalias,1007464,0,0,0
av_opt_find2.localalias,1007464,0,0,1
av_opt_next,1007464,0,0,0
av_opt_find2.localalias,1007464,10000,10000,0
av_opt_next,1007464,0,0,0
term_init,1007464,3000,3000,0
open_files,1007464,6344000,5000,2
ifile_open,1007464,6314000,16000,7
sch_add_demux,1007464,4000,4000,0
avformat_alloc_context,1007464,13000,2000,1
av_opt_set_defaults2,1007464,11000,11000,0
avformat_open_input,1007464,1561000,11000,6
av_opt_set_dict,1007464,9000,1000,1
av_opt_set_dict2,1007464,8000,3000,1
av_opt_find2.localalias,1007464,5000,5000,1
av_opt_next,1007464,0,0,0
init_input,1007464,904000,5000,3
av_probe_input_format2,1007464,60000,0,1
av_probe_input_format3,1007464,60000,43000,2
av_demuxer_iterate,1007464,0,0,0
img_read_probe,1007464,17000,1000,1
ff_guess_image2_codec,1007464,16000,0,1
str2id,1007464,16000,16000,1
av_strcasecmp,1007464,0,0,0
io_open_default,1007464,66000,12000,2
ffurl_open_whitelist,1007464,43000,12000,3
ffurl_alloc,1007464,4000,4000,0
av_opt_set_dict2,1007464,3000,2000,1
av_dict_free,1007464,1000,1000,1
av_free,1007464,0,0,0
ffurl_connect,1007464,26000,10000,3
av_dict_set,1007464,2000,2000,1
av_toupper,1007464,0,0,0
file_open,1007464,11000,2000,1
avpriv_open,1007464,9000,9000,0
av_dict_set,1007464,4000,4000,1
av_free,1007464,0,0,0
ffio_fdopen,1007464,11000,11000,0
av_probe_input_buffer2,1007464,773000,4000,3
avio_read,1007464,9000,1000,1
read_packet_wrapper,1007464,8000,0,1
retry_transfer_wrapper,1007464,8000,0,1
file_read,1007464,8000,8000,0
av_probe_input_format3,1007464,751000,388000,25
av_match_name,1007464,0,0,0
ass_probe,1007464,5000,5000,0
av_match_name,1007464,0,0,1
av_tolower,1007464,0,0,0
av_match_name,1007464,0,0,0
av_strncasecmp,1007464,0,0,0
gxf_probe,1007464,0,0,0
h261_probe,1007464,11000,11000,0
av_strncasecmp,1007464,0,0,0
iamf_probe,1007464,3000,3000,0
img_read_probe,1007464,15000,15000,1
av_strcasecmp,1007464,0,0,0
av_match_ext,1007464,0,0,0
av_match_ext,1007464,2000,2000,0
mlp_probe,1007464,3000,3000,0
mp3_read_probe,1007464,310000,310000,27
avpriv_mpegaudio_decode_header,1007464,0,0,0
ff_mpa_check_header,1007464,0,0,0
ff_mpa_check_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
ff_mpa_check_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
avpriv_mpegaudio_decode_header,1007464,0,0,0
mpegps_probe,1007464,2000,2000,0
avpriv_find_start_code,1007464,1000,1000,0
msnwc_tcp_probe,1007464,2000,2000,0
av_match_ext,1007464,0,0,0
av_match_name,1007464,1000,1000,0
av_demuxer_iterate,1007464,0,0,0
sbg_read_probe,1007464,6000,4000,1
free_script,1007464,2000,2000,1
av_free,1007464,0,0,0
av_match_name,1007464,0,0,0
thd_probe,1007464,3000,3000,0
av_strncasecmp,1007464,0,0,0
av_match_ext,1007464,0,0,0
ffio_rewind_with_probe_data,1007464,9000,5000,1
av_realloc_f,1007464,4000,4000,0
av_opt_set_defaults2,1007464,7000,7000,0
av_opt_set_dict2,1007464,4000,3000,1
av_dict_set,1007464,1000,1000,1
av_strdup,1007464,0,0,0
mov_read_header,1007464,623000,6000,1
mov_read_default,1007464,617000,20000,2
av_fourcc_make_string,1007464,0,0,0
mov_read_moov,1007464,597000,513000,4
mov_read_mvhd,1007464,11000,10000,1
mov_metadata_creation_time,1007464,1000,1000,1
avio_rb32,1007464,0,0,1
avio_rb16,1007464,0,0,0
avio_rb32,1007464,0,0,0
mov_read_trak,1007464,557000,27001,5
avcodec_alloc_context3,1007464,45000,0,1
av_opt_set_defaults2,1007464,45000,45000,1
write_number,1007464,0,0,0
mov_read_tkhd,1007464,11000,11000,1
avio_rb16,1007464,0,0,0
mov_read_default,1007464,6000,6000,1
av_fourcc_make_string,1007464,0,0,0
mov_read_default,1007464,129999,13999,4
mov_read_mdhd,1007464,5000,4000,1
mov_metadata_creation_time,1007464,1000,1000,1
avio_rb32,1007464,0,0,0
mov_read_hdlr,1007464,6000,6000,1
avio_rb32,1007464,0,0,1
avio_rb16,1007464,0,0,0
mov_read_default,1007464,5000,5000,1
av_log,1007464,0,0,0
mov_read_default,1007464,100000,25000,4
mov_read_stsd,1007464,70000,3000,2
av_mallocz,1007464,0,0,0
ff_mov_read_stsd_entries,1007464,67000,4000,3
ff_codec_get_id,1007464,43000,43000,3
ff_toupper4,1007464,0,0,0
ff_toupper4,1007464,0,0,0
ff_toupper4,1007464,0,0,0
mov_parse_stsd_video,1007464,7000,7000,0
mov_read_default,1007464,13000,13000,1
avio_rb32,1007464,0,0,0
avio_rl16,1007464,0,0,0
avio_rl32,1007464,0,0,0
mov_read_stsz,1007464,5000,5000,1
get_bits_long,1007464,0,0,0
mov_build_index,1007464,338000,11000,10
ff_rfps_add_frame,1007464,35000,35000,1
av_mallocz,1007464,0,0,0
ff_rfps_add_frame,1007464,37000,37000,3
get_std_framerate,1007464,0,0,0
get_std_framerate,1007464,0,0,0
get_std_framerate,1007464,0,0,0
ff_rfps_add_frame,1007464,38000,38000,1
get_std_framerate,1007464,0,0,0
ff_rfps_add_frame,1007464,33000,33000,2
get_std_framerate,1007464,0,0,0
get_std_framerate,1007464,0,0,0
ff_rfps_add_frame,1007464,39000,39000,0
ff_rfps_add_frame,1007464,34000,34000,0
ff_rfps_add_frame,1007464,39000,39000,2
get_std_framerate,1007464,0,0,0
get_std_framerate,1007464,0,0,0
ff_rfps_add_frame,1007464,33000,33000,1
get_std_framerate,1007464,0,0,0
ff_rfps_add_frame,1007464,34000,34000,1
get_std_framerate,1007464,0,0,0
av_malloc_array,1007464,0,0,0
mov_read_default,1007464,22000,6000,1
mov_read_meta,1007464,16000,8000,2
av_fourcc_make_string,1007464,0,0,0
mov_read_ilst,1007464,8000,3000,1
mov_read_udta_string,1007464,5000,5000,0
update_stream_avctx,1007464,3000,3000,0
choose_decoder,1007464,70000,1000,1
avcodec_find_decoder,1007464,69000,49000,6
av_codec_is_decoder,1007464,0,0,0
av_codec_is_decoder,1007464,12000,12000,0
av_codec_is_decoder,1007464,0,0,0
av_codec_is_decoder,1007464,0,0,0
av_codec_is_decoder,1007464,0,0,0
av_codec_is_decoder,1007464,8000,8000,0
avformat_find_stream_info,1007464,4324000,423000,10
av_opt_find2.localalias,1007464,1000,1000,0
av_opt_find2.localalias,1007464,9000,9000,0
av_parser_init,1007464,23000,7000,1
init,1007464,16000,3000,1
ff_h264dsp_init,1007464,13000,13000,0
find_probe_decoder,1007464,51000,51000,1
av_codec_iterate,1007464,0,0,0
avcodec_open2,1007464,685000,16000,4
av_malloc.localalias,1007464,6000,6000,0
av_opt_set_dict2,1007464,124000,2000,3
av_opt_find2.localalias,1007464,14000,14000,1
av_opt_next,1007464,0,0,0
opt_set_elem,1007464,60000,0,1
av_opt_find,1007464,27000,27000,1
av_opt_next,1007464,0,0,0
av_opt_next,1007464,0,0,0
av_expr_parse_and_eval,1007464,5000,5000,0
av_opt_find2.localalias,1007464,14000,14000,0
opt_set_elem,1007464,31000,31000,0
av_dict_free,1007464,1000,1000,1
av_freep,1007464,0,0,0
ff_decode_preinit,1007464,14000,5000,1
decode_bsfs_init,1007464,9000,6000,1
av_bsf_list_parse_str,1007464,3000,0,1
av_bsf_alloc,1007464,3000,2000,1
avcodec_parameters_alloc,1007464,1000,0,1
codec_parameters_reset,1007464,1000,1000,0
h264_decode_init,1007464,346000,193000,3
h264_init_context,1007464,58000,40000,6
ff_h264_sei_uninit,1007464,8000,2000,1
ff_h2645_sei_reset,1007464,6000,6000,0
av_mallocz,1007464,9000,9000,0
h264_init_pic,1007464,0,0,0
h264_init_pic,1007464,0,0,1
av_malloc.localalias,1007464,0,0,0
h264_init_pic,1007464,1000,1000,1
av_frame_alloc,1007464,0,0,1
get_frame_defaults,1007464,0,0,0
av_malloc.localalias,1007464,0,0,0
ff_h264_decode_init_vlc,1007464,192000,55000,12
ff_vlc_init_sparse,1007464,6000,3000,1
build_table,1007464,3000,3000,0
ff_vlc_init_sparse,1007464,38000,1000,1
build_table,1007464,37000,37000,0
ff_vlc_init_tables_sparse,1007464,24000,20000,1
build_table,1007464,4000,4000,0
ff_vlc_init_tables_sparse,1007464,17000,17000,0
ff_vlc_init_tables_sparse,1007464,14000,14000,1
compare_vlcspec,1007464,0,0,0
ff_vlc_init_tables,1007464,0,0,1
build_table,1007464,0,0,0
ff_vlc_init_tables,1007464,4000,1000,1
ff_vlc_init_sparse,1007464,3000,0,1
build_table,1007464,3000,3000,0
ff_vlc_init_sparse,1007464,6000,1000,1
build_table,1007464,5000,5000,0
ff_vlc_init_tables_sparse,1007464,2000,0,1
vlc_common_end,1007464,2000,1000,1
build_table,1007464,1000,1000,0
ff_vlc_init_sparse,1007464,3000,0,1
build_table,1007464,3000,3000,0
ff_vlc_init_sparse,1007464,3000,0,1
vlc_common_end,1007464,3000,3000,0
init_cavlc_level_tab,1007464,20000,20000,0
ff_h264_decode_extradata,1007464,88000,1000,2
decode_extradata_ps_mp4,1007464,16000,6000,2
alloc_rbsp_buffer,1007464,1000,1000,0
ff_h264_decode_seq_parameter_set,1007464,10000,10000,1
av_image_check_size,1007464,0,0,0
decode_extradata_ps_mp4,1007464,71000,1000,1
decode_extradata_ps,1007464,70000,9000,1
ff_h264_decode_picture_parameter_set,1007464,67000,63000,1
av_malloc.localalias,1007464,4000,4000,0
read_frame_internal,1007464,112000,10000,2
av_parser_parse2,1007464,82000,1000,1
h264_parse,1007464,81000,54000,2
ff_h2645_packet_split,1007464,2000,2000,0
ff_h264_decode_seq_parameter_set,1007464,8000,5000,1
decode_vui_parameters,1007464,3000,3000,1
get_bits_left,1007464,0,0,0
decode_extradata_ps,1007464,52000,9000,1
ff_refstruct_alloc_ext_c,1007464,43000,43000,0
parse_nal_units,1007464,15000,14000,2
fast_malloc,1007464,1000,0,1
av_malloc.localalias,1007464,1000,1000,0
av_gcd,1007464,0,0,0
av_opt_get_dict_val,1007464,15000,0,1
av_opt_find2.localalias,1007464,15000,14000,2
av_opt_find2.localalias,1007464,1000,0,1
av_opt_find2.localalias,1007464,1000,1000,1
av_opt_find2.localalias,1007464,0,0,0
av_opt_next,1007464,0,0,0
try_decode_frame,1007464,2710000,6000,2
avcodec_send_packet,1007464,2700000,1000,1
decode_receive_frame_internal,1007464,2699000,2000,1
ff_decode_receive_frame_internal,1007464,2697000,0,1
decode_simple_internal,1007464,2697000,4000,2
ff_decode_get_packet,1007464,2000,1000,1
decode_get_packet,1007464,1000,1000,1
av_packet_unref,1007464,0,0,0
h264_decode_frame,1007464,2691000,1000,3
decode_nal_units,1007464,2678000,10000,4
alloc_rbsp_buffer,1007464,67000,1000,1
av_mallocz,1007464,66000,66000,0
ff_h264_sei_decode,1007464,4000,1000,1
decode_unregistered_user_data,1007464,3000,2000,1
av_buffer_alloc,1007464,2000,2000,0
ff_h264_queue_decode_slice,1007464,145000,101000,3
h264_slice_header_parse,1007464,3000,3000,0
h264_field_start,1007464,136000,10000,2
h264_slice_header_init,1007464,30000,10000,2
ff_h264_free_tables,1007464,5000,5000,1
av_freep,1007464,0,0,0
ff_h264_alloc_tables,1007464,15000,15000,1
av_calloc,1007464,0,0,0
h264_frame_start,1007464,96000,32000,1
alloc_picture,1007464,82000,22000,3
avcodec_default_get_buffer2,1007464,56000,2000,2
update_frame_pool,1007464,6000,3000,1
av_mallocz,1007464,3000,3000,0
av_buffer_pool_get,1007464,16000,0,1
av_buffer_allocz,1007464,15000,15000,0
pool_alloc_buffer,1007464,15000,15000,0
pool_alloc_buffer,1007464,16000,1000,1
av_buffer_allocz,1007464,15000,15000,0
ff_refstruct_pool_get,1007464,1000,0,1
av_malloc.localalias,1007464,1000,1000,0
ff_refstruct_alloc_ext_c,1007464,3000,3000,0
h264_slice_init,1007464,4000,4000,0
decode_slice,1007464,2445000,672000,160
ff_h264_decode_mb_cavlc,1007464,4000,4000,1
fill_decode_neighbors,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,6000,3000,1
hl_decode_mb_444_simple_8,1007464,3000,2000,1
ff_h264_idct_add16intra_8_c,1007464,1000,1000,0
ff_h264_hl_decode_mb,1007464,3000,3000,1
ff_h264_idct_add16intra_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,23000,21000,1
decode_residual,1007464,2000,2000,0
get_bits_left,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,43000,38000,3
decode_residual,1007464,2000,2000,0
decode_residual,1007464,1000,1000,0
decode_residual,1007464,2000,2000,0
ff_h264_hl_decode_mb,1007464,7000,6000,1
ff_h264_idct_add16intra_8_c,1007464,1000,1000,1
ff_h264_idct_dc_add_8_c,1007464,0,0,0
get_bits_left,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,5000,5000,1
ff_h264_luma_dc_dequant_idct_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,3000,3000,1
decode_residual,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,2000,1000,1
ff_h264_idct_add16intra_8_c,1007464,1000,1000,1
ff_h264_idct_dc_add_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,41000,32000,4
decode_residual,1007464,2000,2000,0
decode_residual,1007464,2000,2000,0
decode_residual,1007464,3000,3000,0
decode_residual,1007464,2000,2000,1
skip_bits,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,6000,5000,1
ff_h264_idct_add16intra_8_c,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,39000,29000,4
decode_residual,1007464,1000,1000,1
skip_bits,1007464,0,0,0
decode_residual,1007464,1000,1000,0
decode_residual,1007464,8000,8000,0
decode_residual,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,3000,2000,1
decode_residual,1007464,1000,1000,0
ff_h264_hl_decode_mb,1007464,1000,1000,0
decode_finish_row,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,51000,40000,5
decode_residual,1007464,2000,2000,0
decode_residual,1007464,1000,1000,1
show_bits,1007464,0,0,0
decode_residual,1007464,1000,1000,0
decode_residual,1007464,7000,7000,0
decode_residual,1007464,0,0,1
skip_bits,1007464,0,0,0
hl_decode_mb_444_simple_8,1007464,8000,8000,0
ff_h264_decode_mb_cavlc,1007464,2000,2000,0
hl_decode_mb_444_simple_8,1007464,4000,4000,1
pred16x16_vertical_8_c,1007464,0,0,0
hl_decode_mb_444_simple_8,1007464,1000,1000,1
pred16x16_vertical_8_c,1007464,0,0,0
fill_decode_neighbors,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,43000,40000,4
decode_residual,1007464,2000,2000,1
show_bits,1007464,0,0,0
decode_residual,1007464,0,0,0
decode_residual,1007464,0,0,0
decode_residual,1007464,1000,1000,1
skip_bits,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,8000,6000,1
ff_h264_idct_add16intra_8_c,1007464,2000,2000,1
ff_h264_idct_add_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,1
decode_residual,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,31000,26000,3
decode_residual,1007464,2000,2000,0
decode_residual,1007464,1000,1000,0
decode_residual,1007464,2000,2000,0
ff_h264_decode_mb_cavlc,1007464,32000,24000,4
decode_residual,1007464,2000,2000,1
show_bits,1007464,0,0,0
decode_residual,1007464,6000,3000,1
skip_bits,1007464,3000,3000,0
decode_residual,1007464,0,0,0
decode_residual,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,1000,1000,1
ff_h264_idct_add16intra_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,3000,2000,1
decode_residual,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,13000,11000,1
decode_residual,1007464,2000,2000,0
ff_h264_decode_mb_cavlc,1007464,34000,30000,3
decode_residual,1007464,1000,1000,0
decode_residual,1007464,1000,1000,1
skip_bits,1007464,0,0,0
decode_residual,1007464,2000,2000,0
hl_decode_mb_444_simple_8,1007464,5000,5000,1
ff_h264_idct_add16intra_8_c,1007464,0,0,1
ff_h264_idct_add_8_c,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,35000,29000,3
decode_residual,1007464,3000,3000,0
decode_residual,1007464,1000,1000,0
decode_residual,1007464,2000,2000,0
ff_h264_hl_decode_mb,1007464,5000,0,1
hl_decode_mb_444_simple_8,1007464,5000,5000,1
ff_h264_luma_dc_dequant_idct_8_c,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,4000,3000,1
ff_h264_idct_add16intra_8_c,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,0
ff_h264_hl_decode_mb,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,32000,30000,3
decode_residual,1007464,2000,2000,0
decode_residual,1007464,0,0,0
decode_residual,1007464,0,0,0
get_bits_left,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,15000,13000,2
decode_residual,1007464,2000,2000,0
decode_residual,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,1
get_se_golomb,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,4000,1000,1
decode_residual,1007464,3000,3000,0
ff_h264_decode_mb_cavlc,1007464,4000,1000,1
decode_residual,1007464,3000,3000,0
ff_h264_hl_decode_mb,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,1
decode_residual,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,1000,1000,1
ff_h264_idct_add16intra_8_c,1007464,0,0,0
get_bits_left,1007464,0,0,0
ff_thread_report_progress,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,13000,12000,1
decode_residual,1007464,1000,1000,0
ff_h264_hl_decode_mb,1007464,1000,1000,1
ff_h264_idct_add16intra_8_c,1007464,0,0,1
ff_h264_idct_add_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,1
get_se_golomb,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,1000,1000,1
pred16x16_vertical_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,0
ff_h264_decode_mb_cavlc,1007464,25000,23000,2
decode_residual,1007464,2000,2000,0
decode_residual,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,2000,2000,0
ff_h264_decode_mb_cavlc,1007464,1000,1000,0
ff_h264_hl_decode_mb,1007464,1000,1000,1
ff_h264_idct_add16intra_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,3000,3000,0
ff_h264_hl_decode_mb,1007464,4000,4000,0
ff_h264_decode_mb_cavlc,1007464,22000,20000,1
decode_residual,1007464,2000,2000,0
ff_h264_hl_decode_mb,1007464,5000,4000,1
ff_h264_idct_add16intra_8_c,1007464,1000,1000,1
ff_h264_idct_dc_add_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,21000,21000,1
decode_residual,1007464,0,0,0
ff_h264_hl_decode_mb,1007464,6000,4000,1
ff_h264_idct_add16intra_8_c,1007464,2000,2000,0
ff_h264_decode_mb_cavlc,1007464,14000,14000,0
ff_h264_hl_decode_mb,1007464,6000,6000,0
ff_h264_decode_mb_cavlc,1007464,29000,26000,3
decode_residual,1007464,0,0,0
show_bits,1007464,0,0,0
decode_residual,1007464,2000,2000,0
ff_h264_hl_decode_mb,1007464,7000,5000,1
ff_h264_idct_add16intra_8_c,1007464,2000,2000,1
ff_h264_idct_dc_add_8_c,1007464,0,0,0
ff_h264_decode_mb_cavlc,1007464,16000,16000,1
decode_residual,1007464,0,0,0
