function_name,thread_id,duration_ns,self_time_ns,num_children
main,467638,968000,8000,4
dup_bio_in,467638,598000,7000,1
BIO_new_fp,467638,591000,19000,1
BIO_new,467638,572000,1000,1
BIO_new_ex,467638,571000,7000,2
CRYPTO_zalloc,467638,329000,329000,0
CRYPTO_new_ex_data,467638,235000,0,1
ossl_crypto_new_ex_data_ex,467638,235000,6000,1
ossl_lib_ctx_get_ex_data_global,467638,229000,1000,1
ossl_lib_ctx_get_concrete,467638,228000,1000,1
get_thread_default_context,467638,227000,3000,1
CRYPTO_THREAD_run_once,467638,224000,5000,1
default_context_do_init_ossl_,467638,219000,1000,1
default_context_do_init,467638,218000,1000,1
context_init,467638,217000,68000,11
ossl_do_ex_data_init,467638,1000,1000,1
ossl_lib_ctx_get_ex_data_global,467638,0,0,0
ossl_method_store_new,467638,11000,5000,1
ossl_sa_ALGORITHM_new,467638,6000,6000,0
ossl_rand_ctx_new,467638,11000,11000,0
ossl_decoder_cache_new,467638,13000,13000,0
ossl_method_store_new,467638,2000,2000,1
CRYPTO_THREAD_lock_new,467638,0,0,0
ossl_provider_store_new,467638,10000,9000,1
sk_OSSL_PROVIDER_CHILD_CB_new_null,467638,1000,1000,1
OPENSSL_sk_new_reserve,467638,0,0,0
ossl_stored_namemap_new,467638,26000,0,1
ossl_namemap_new,467638,26000,6000,1
ossl_ht_new,467638,20000,16000,1
alloc_new_neighborhood_list,467638,4000,4000,0
CRYPTO_zalloc,467638,0,0,0
CRYPTO_zalloc,467638,2000,2000,0
ossl_threads_ctx_new,467638,3000,3000,0
ossl_property_parse_init,467638,69000,12000,7
ossl_property_name,467638,13000,0,1
ossl_property_string,467638,13000,12000,1
new_property_string,467638,1000,1000,0
ossl_property_string,467638,6000,6000,1
new_property_string,467638,0,0,0
ossl_property_name,467638,7000,7000,1
lh_PROPERTY_STRING_insert,467638,0,0,0
ossl_property_name,467638,11000,9000,1
lh_PROPERTY_STRING_retrieve,467638,2000,1000,1
getrn,467638,1000,0,1
property_hash,467638,1000,1000,0
ossl_property_name,467638,6000,0,1
ossl_property_string,467638,6000,5000,1
lh_PROPERTY_STRING_retrieve,467638,1000,1000,1
property_hash,467638,0,0,0
ossl_property_value,467638,8000,8000,1
new_property_string,467638,0,0,0
ossl_property_value,467638,7000,7000,0
dup_bio_out,467638,9000,4000,1
BIO_new_fp,467638,5000,1000,1
BIO_new,467638,4000,4000,0
dup_bio_err,467638,6000,1000,1
BIO_new_fp,467638,5000,0,1
BIO_new,467638,5000,2000,1
ossl_lib_ctx_get_ex_data_global,467638,1000,1000,1
get_thread_default_context,467638,0,0,0
apps_startup,467638,347000,4000,1
OPENSSL_init_ssl,467638,343000,0,1
OPENSSL_init_crypto,467638,343000,3000,2
CRYPTO_THREAD_run_once,467638,1000,1000,0
ossl_init_add_all_ciphers_ossl_,467638,339000,1000,1
ossl_init_add_all_ciphers,467638,338000,3000,1
openssl_add_all_ciphers_int,467638,335000,63000,28
EVP_add_cipher,467638,24000,6000,2
OBJ_NAME_add,467638,10000,5000,1
OBJ_NAME_init,467638,5000,1000,1
CRYPTO_THREAD_run_once,467638,4000,4000,0
OBJ_NAME_add,467638,8000,2000,1
OPENSSL_LH_insert,467638,6000,0,1
getrn,467638,6000,1000,1
lh_OBJ_NAME_cfn_thunk,467638,5000,0,1
obj_name_cmp,467638,5000,1000,1
OPENSSL_strcasecmp,467638,4000,4000,1
ossl_tolower,467638,0,0,0
EVP_add_cipher,467638,9000,4000,1
OBJ_NAME_add,467638,5000,1000,1
lh_OBJ_NAME_insert,467638,4000,1000,1
obj_name_hash,467638,0,0,0
EVP_add_cipher,467638,10000,5000,1
OBJ_NAME_add,467638,5000,5000,1
OBJ_NAME_init,467638,0,0,0
EVP_add_cipher,467638,12000,1000,2
OBJ_NAME_add,467638,3000,2000,1
lh_OBJ_NAME_insert,467638,1000,0,1
getrn,467638,0,0,1
