program,input,iteration,path_rank,archetype
sqlite,0,0,1,1
sqlite,0,0,2,7
sqlite,0,0,3,3
sqlite,0,0,4,3
sqlite,0,0,5,1
sqlite,0,0,6,1
sqlite,0,0,7,2
sqlite,0,0,8,1
sqlite,0,0,9,1
sqlite,0,0,10,7
sqlite,0,1,1,1
sqlite,0,1,2,7
sqlite,0,1,3,3
sqlite,0,1,4,3
sqlite,0,1,5,1
sqlite,0,1,6,1
sqlite,0,1,7,1
sqlite,0,1,8,1
sqlite,0,1,9,1
sqlite,0,1,10,7
sqlite,0,2,1,1
sqlite,0,2,2,7
sqlite,0,2,3,3
sqlite,0,2,4,3
sqlite,0,2,5,1
sqlite,0,2,6,1
sqlite,0,2,7,1
sqlite,0,2,8,1
sqlite,0,2,9,1
sqlite,0,2,10,7
sqlite,1,0,1,1
sqlite,1,0,2,7
sqlite,1,0,3,7
sqlite,1,0,4,3
sqlite,1,0,5,1
sqlite,1,0,6,1
sqlite,1,0,7,1
sqlite,1,0,8,1
sqlite,1,0,9,1
sqlite,1,0,10,7
sqlite,1,1,1,1
sqlite,1,1,2,7
sqlite,1,1,3,3
sqlite,1,1,4,1
sqlite,1,1,5,8
sqlite,1,1,6,1
sqlite,1,1,7,1
sqlite,1,1,8,1
sqlite,1,1,9,7
sqlite,1,1,10,7
sqlite,1,2,1,1
sqlite,1,2,2,7
sqlite,1,2,3,3
sqlite,1,2,4,1
sqlite,1,2,5,8
sqlite,1,2,6,1
sqlite,1,2,7,1
sqlite,1,2,8,1
sqlite,1,2,9,1
sqlite,1,2,10,7
sqlite,2,0,1,2
sqlite,2,0,2,7
sqlite,2,0,3,3
sqlite,2,0,4,3
sqlite,2,0,5,1
sqlite,2,0,6,7
sqlite,2,0,7,7
sqlite,2,0,8,7
sqlite,2,0,9,3
sqlite,2,0,10,3
sqlite,2,1,1,1
sqlite,2,1,2,7
sqlite,2,1,3,3
sqlite,2,1,4,3
sqlite,2,1,5,1
sqlite,2,1,6,1
sqlite,2,1,7,1
sqlite,2,1,8,1
sqlite,2,1,9,1
sqlite,2,1,10,7
sqlite,2,2,1,1
sqlite,2,2,2,7
sqlite,2,2,3,3
sqlite,2,2,4,3
sqlite,2,2,5,1
sqlite,2,2,6,1
sqlite,2,2,7,1
sqlite,2,2,8,1
sqlite,2,2,9,1
sqlite,2,2,10,7
sqlite,3,0,1,1
sqlite,3,0,2,7
sqlite,3,0,3,3
sqlite,3,0,4,3
sqlite,3,0,5,1
sqlite,3,0,6,1
sqlite,3,0,7,1
sqlite,3,0,8,1
sqlite,3,0,9,1
sqlite,3,0,10,7
sqlite,3,1,1,1
sqlite,3,1,2,7
sqlite,3,1,3,3
sqlite,3,1,4,3
sqlite,3,1,5,1
sqlite,3,1,6,1
sqlite,3,1,7,2
sqlite,3,1,8,1
sqlite,3,1,9,1
sqlite,3,1,10,7
sqlite,3,2,1,1
sqlite,3,2,2,8
sqlite,3,2,3,3
sqlite,3,2,4,3
sqlite,3,2,5,1
sqlite,3,2,6,1
sqlite,3,2,7,1
sqlite,3,2,8,1
sqlite,3,2,9,1
sqlite,3,2,10,7
sqlite,4,0,1,1
sqlite,4,0,2,7
sqlite,4,0,3,8
sqlite,4,0,4,3
sqlite,4,0,5,1
sqlite,4,0,6,1
sqlite,4,0,7,1
sqlite,4,0,8,1
sqlite,4,0,9,1
sqlite,4,0,10,1
sqlite,4,1,1,1
sqlite,4,1,2,7
sqlite,4,1,3,3
sqlite,4,1,4,3
sqlite,4,1,5,1
sqlite,4,1,6,1
sqlite,4,1,7,1
sqlite,4,1,8,1
sqlite,4,1,9,1
sqlite,4,1,10,7
sqlite,4,2,1,1
sqlite,4,2,2,7
sqlite,4,2,3,3
sqlite,4,2,4,3
sqlite,4,2,5,1
sqlite,4,2,6,1
sqlite,4,2,7,2
sqlite,4,2,8,1
sqlite,4,2,9,1
sqlite,4,2,10,1
sqlite,5,0,1,1
sqlite,5,0,2,7
sqlite,5,0,3,3
sqlite,5,0,4,3
sqlite,5,0,5,1
sqlite,5,0,6,1
sqlite,5,0,7,1
sqlite,5,0,8,1
sqlite,5,0,9,1
sqlite,5,0,10,7
sqlite,5,1,1,8
sqlite,5,1,2,8
sqlite,5,1,3,3
sqlite,5,1,4,3
sqlite,5,1,5,8
sqlite,5,1,6,8
sqlite,5,1,7,8
sqlite,5,1,8,8
sqlite,5,1,9,8
sqlite,5,1,10,8
sqlite,5,2,1,1
sqlite,5,2,2,7
sqlite,5,2,3,3
sqlite,5,2,4,3
sqlite,5,2,5,1
sqlite,5,2,6,1
sqlite,5,2,7,1
sqlite,5,2,8,1
sqlite,5,2,9,1
sqlite,5,2,10,1
sqlite,6,0,1,1
sqlite,6,0,2,7
sqlite,6,0,3,3
